id	title	revision	url	fetched
cisco-avc-fdg-2015	Cisco Application Visibility and Control Field Definition Guide for Third-Party Customers, AVC Metric Definitions	Revised March 26, 2015	https://www.cisco.com/c/en/us/td/docs/routers/access/ISRG2/AVC/api/guide/AVC_Metric_Definition_Guide/5_AVC_Metric_Def.html	2026-09-18
libfds-cisco-xml	CESNET libfds system element definitions, cisco.xml (PEN 9). Corroborating data file only; BSD-3-Clause/GPLv2+; not copied	master as of fetch date	https://github.com/CESNET/libfds/blob/master/config/system/elements/cisco.xml	2026-09-18
rfc6759	RFC 6759: Cisco Systems Export of Application Information in IPFIX (Claise, Aitken, Ben-Dvora)	November 2012	https://www.rfc-editor.org/rfc/rfc6759.txt	2026-09-18
cisco-avc-cfg-xe39s	Application Visibility and Control Configuration Guide, Cisco IOS XE Release 3.9S (superseded; no standalone 17.x successor found)	Cisco IOS XE Release 3.9S	https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/avc/configuration/xe-16/avc-xe-16-book/cfg-avc-xe.html	2026-09-18
cisco-fnf-ntw-servs-17x	Network Services Configuration Guide, Cisco IOS XE 17.x, Flexible NetFlow Overview	Updated March 27, 2024	https://www.cisco.com/c/en/us/td/docs/routers/ios/config/17-x/ntw-servs/b-network-services/m_fnf-fnetflow.html	2026-09-18
cisco-fnf-xe17-book	Flexible NetFlow Configuration Guide, Cisco IOS XE 17, Flexible NetFlow Overview	Updated August 7, 2019	https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/fnetflow/configuration/xe-16-12/fnf-xe-17-book/fnf-fnetflow.html	2026-09-18
cisco-cat9500-avc	System Management Configuration Guide, Cisco IOS XE Amsterdam 17.1.x (Catalyst 9500 Switches), Configuring Application Visibility and Control in a Wired Network	Cisco IOS XE Amsterdam 17.1.x	https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst9500/software/release/17-1/configuration_guide/sys_mgmt/b_171_sys_mgmt_9500_cg/application_visibility_and_control_in_a_wired_network.html	2026-09-18
cisco-cat9800-wlc-avc	Cisco Catalyst 9800 Series Wireless Controller Software Configuration Guide, Cisco IOS XE 17.9.x, Application Visibility and Control	Cisco IOS XE 17.9.x	https://www.cisco.com/c/en/us/td/docs/wireless/controller/9800/17-9/config-guide/b_wl_17_9_cg/m_avc_ewlc.html	2026-09-18
cisco-avc-fdg-2015-exported-fields	Cisco Application Visibility and Control Field Definition Guide for Third-Party Customers, New Exported Fields	Revised March 26, 2015	https://www.cisco.com/c/en/us/td/docs/routers/access/ISRG2/AVC/api/guide/AVC_Metric_Definition_Guide/avc_app_exported_fields.html	2026-09-18
cisco-cat9800-eta	Cisco Catalyst 9800 Series Wireless Controller Software Configuration Guide, Cisco IOS XE 17.9.x, Encrypted Traffic Analytics	Cisco IOS XE 17.9.x	https://www.cisco.com/c/en/us/td/docs/wireless/controller/9800/17-9/config-guide/b_wl_17_9_cg/m_encrypted_traffic_analytics.html	2026-09-18
cisco-nbar-extracted-fields-xe16-6	QoS: NBAR Configuration Guide, Cisco IOS XE Everest 16.6, Reporting Extracted Fields Through Flexible NetFlow	August 2, 2017	https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/configuration/xe-16-6/qos-nbar-xe-16-6-book/reporting-extracted-fields-through-flexible-netflow.html	2026-09-18
cisco-nbar-pp68	Release Notes for Cisco Protocol Pack 68.0.0	Last Updated: April 30, 2024	https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/config_library/pp6800/release-notes-cisco-protocol-pack-68-0-0.html	2026-09-18
cisco-nbar-pp74	Release Notes for Cisco Protocol Pack 74.0.0	First Published: 2025-01-19	https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/config_library/pp7400/release-notes-cisco-protocol-pack-74-0-0.pdf	2026-09-18
